@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute accX numeric
@attribute accY numeric
@attribute accZ numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
485,'2022/03/22 08:52:10:959',4,-0.449219,-0.443833,-0.664337,1,0.89,0.69,0.62,0.68
486,'2022/03/22 08:52:10:967',4,-0.453186,-0.451584,-0.678436,1,0.89,0.69,0.62,0.68
487,'2022/03/22 08:52:10:986',4,-0.453674,-0.450425,-0.680267,1,0.89,0.69,0.62,0.68
488,'2022/03/22 08:52:11:000',4,-0.440918,-0.447556,-0.673187,1,0.89,0.69,0.62,0.68
489,'2022/03/22 08:52:11:016',4,-0.431152,-0.450364,-0.675079,1,0.89,0.69,0.62,0.68
490,'2022/03/22 08:52:11:063',4,-0.427002,-0.452561,-0.681549,1,0.89,0.69,0.62,0.68
491,'2022/03/22 08:52:11:065',4,-0.424377,-0.445237,-0.66861,1,0.89,0.69,0.62,0.68
492,'2022/03/22 08:52:11:081',4,-0.431885,-0.446641,-0.671967,1,0.89,0.69,0.62,0.68
493,'2022/03/22 08:52:11:117',4,-0.454529,-0.448899,-0.67691,1,0.89,0.69,0.62,0.68
494,'2022/03/22 08:52:11:119',4,-0.45636,-0.446885,-0.677094,1,0.89,0.69,0.62,0.68
495,'2022/03/22 08:52:11:130',4,-0.447205,-0.443894,-0.671112,1,0.89,0.69,0.62,0.68
496,'2022/03/22 08:52:11:167',4,-0.444214,-0.446519,-0.674469,1,0.89,0.69,0.62,0.68
497,'2022/03/22 08:52:11:167',4,-0.439392,-0.450303,-0.676666,1,0.89,0.69,0.62,0.68
498,'2022/03/22 08:52:11:179',4,-0.43457,-0.449692,-0.670319,1,0.89,0.69,0.62,0.68
499,'2022/03/22 08:52:11:194',4,-0.436768,-0.451096,-0.668976,1,0.89,0.69,0.62,0.68
500,'2022/03/22 08:52:11:210',4,-0.44519,-0.451768,-0.668976,1,0.89,0.69,0.62,0.68
501,'2022/03/22 08:52:11:226',4,-0.446472,-0.4525,-0.673859,1,0.89,0.69,0.62,0.68
502,'2022/03/22 08:52:11:265',4,-0.442993,-0.450181,-0.675385,1,0.89,0.69,0.62,0.68
503,'2022/03/22 08:52:11:275',4,-0.439148,-0.448716,-0.677582,1,0.89,0.69,0.62,0.68
504,'2022/03/22 08:52:11:302',4,-0.439453,-0.447739,-0.677826,1,0.89,0.69,0.62,0.68
505,'2022/03/22 08:52:11:307',4,-0.441833,-0.445725,-0.677216,1,0.89,0.69,0.62,0.68
506,'2022/03/22 08:52:11:323',4,-0.440796,-0.443894,-0.675873,1,0.89,0.69,0.62,0.68
507,'2022/03/22 08:52:11:369',4,-0.447998,-0.446946,-0.678864,1,0.89,0.69,0.62,0.68
508,'2022/03/22 08:52:11:372',4,-0.446777,-0.444993,-0.671783,1,0.89,0.69,0.62,0.68
509,'2022/03/22 08:52:11:388',4,-0.443481,-0.447068,-0.669586,1,0.89,0.69,0.62,0.68
510,'2022/03/22 08:52:11:405',4,-0.440491,-0.448716,-0.66861,1,0.89,0.69,0.62,0.68
511,'2022/03/22 08:52:11:423',4,-0.437683,-0.451951,-0.670746,1,0.89,0.69,0.62,0.68
512,'2022/03/22 08:52:11:437',4,-0.443481,-0.453477,-0.672943,1,0.89,0.69,0.62,0.68
513,'2022/03/22 08:52:11:472',4,-0.445313,-0.452805,-0.670868,1,0.89,0.69,0.62,0.68
514,'2022/03/22 08:52:11:473',4,-0.445923,-0.452744,-0.674713,1,0.89,0.69,0.62,0.68
515,'2022/03/22 08:52:11:485',4,-0.441223,-0.450242,-0.674164,1,0.89,0.69,0.62,0.68
516,'2022/03/22 08:52:11:501',4,-0.432129,-0.447312,-0.670685,1,0.89,0.69,0.62,0.68
517,'2022/03/22 08:52:11:518',4,-0.431641,-0.446519,-0.66922,1,0.89,0.69,0.62,0.68
518,'2022/03/22 08:52:11:534',4,-0.435425,-0.448716,-0.673798,1,0.89,0.69,0.62,0.68
519,'2022/03/22 08:52:11:574',4,-0.440735,-0.450547,-0.678986,1,0.89,0.69,0.62,0.68
520,'2022/03/22 08:52:11:577',4,-0.441772,-0.44835,-0.676422,1,0.89,0.69,0.62,0.68
521,'2022/03/22 08:52:11:582',4,-0.438538,-0.446274,-0.673553,1,0.89,0.69,0.62,0.68
522,'2022/03/22 08:52:11:600',4,-0.442017,-0.447495,-0.675812,1,0.89,0.69,0.62,0.68
523,'2022/03/22 08:52:11:614',4,-0.446533,-0.448105,-0.67746,1,0.89,0.69,0.62,0.68
524,'2022/03/22 08:52:11:630',4,-0.451111,-0.448289,-0.676544,1,0.89,0.69,0.62,0.68
525,'2022/03/22 08:52:11:675',4,-0.458435,-0.447495,-0.675507,1,0.89,0.69,0.62,0.68
526,'2022/03/22 08:52:11:679',4,-0.452148,-0.443467,-0.669403,1,0.89,0.69,0.62,0.68
527,'2022/03/22 08:52:11:697',4,-0.44165,-0.443894,-0.668793,1,0.89,0.69,0.62,0.68
528,'2022/03/22 08:52:11:711',4,-0.437256,-0.44719,-0.673309,1,0.89,0.69,0.62,0.68
529,'2022/03/22 08:52:11:727',4,-0.434753,-0.448777,-0.674835,1,0.89,0.69,0.62,0.68
530,'2022/03/22 08:52:11:745',4,-0.437012,-0.449753,-0.677826,1,0.89,0.69,0.62,0.68
531,'2022/03/22 08:52:11:778',4,-0.445007,-0.448166,-0.677948,1,0.89,0.69,0.62,0.68
532,'2022/03/22 08:52:11:780',4,-0.445068,-0.447373,-0.676788,1,0.89,0.69,0.62,0.68
533,'2022/03/22 08:52:11:819',4,-0.442566,-0.446213,-0.67746,1,0.89,0.69,0.62,0.68
534,'2022/03/22 08:52:11:820',4,-0.440857,-0.443101,-0.670258,1,0.89,0.69,0.62,0.68
535,'2022/03/22 08:52:11:824',4,-0.440491,-0.442368,-0.668976,1,0.89,0.69,0.62,0.68
536,'2022/03/22 08:52:11:841',4,-0.442017,-0.444749,-0.671295,1,0.89,0.69,0.62,0.68
537,'2022/03/22 08:52:11:880',4,-0.448547,-0.445725,-0.67569,1,0.89,0.69,0.62,0.68
538,'2022/03/22 08:52:11:890',4,-0.447632,-0.445725,-0.675568,1,0.89,0.69,0.62,0.68
539,'2022/03/22 08:52:11:909',4,-0.449646,-0.44658,-0.675201,1,0.89,0.69,0.62,0.68
540,'2022/03/22 08:52:11:922',4,-0.449402,-0.445786,-0.675201,1,0.89,0.69,0.62,0.68
541,'2022/03/22 08:52:11:939',4,-0.444763,-0.44542,-0.673431,1,0.89,0.69,0.62,0.68
542,'2022/03/22 08:52:11:983',4,-0.440247,-0.448716,-0.673859,1,0.89,0.69,0.62,0.68
543,'2022/03/22 08:52:11:987',4,-0.436768,-0.44835,-0.671051,1,0.89,0.69,0.62,0.68
544,'2022/03/22 08:52:12:005',4,-0.437134,-0.446946,-0.669769,1,0.89,0.69,0.62,0.68
545,'2022/03/22 08:52:12:020',4,-0.444824,-0.445176,-0.670563,1,0.89,0.69,0.62,0.68
546,'2022/03/22 08:52:12:036',4,-0.447388,-0.444077,-0.675323,1,0.89,0.69,0.62,0.68
547,'2022/03/22 08:52:12:052',4,-0.451782,-0.442673,-0.67453,1,0.89,0.69,0.62,0.68
548,'2022/03/22 08:52:12:085',4,-0.460449,-0.44365,-0.679535,1,0.89,0.69,0.62,0.68
549,'2022/03/22 08:52:12:087',4,-0.460083,-0.440659,-0.676056,1,0.89,0.69,0.62,0.68
550,'2022/03/22 08:52:12:100',4,-0.456177,-0.439744,-0.674774,1,0.89,0.69,0.62,0.68
551,'2022/03/22 08:52:12:117',4,-0.445679,-0.439683,-0.67038,1,0.89,0.69,0.62,0.68
552,'2022/03/22 08:52:12:133',4,-0.438904,-0.442429,-0.668365,1,0.89,0.69,0.62,0.68
553,'2022/03/22 08:52:12:150',4,-0.440369,-0.442856,-0.666962,1,0.89,0.69,0.62,0.68
554,'2022/03/22 08:52:12:188',4,-0.444824,-0.446152,-0.67215,1,0.89,0.69,0.62,0.68
555,'2022/03/22 08:52:12:190',4,-0.450439,-0.445969,-0.672882,1,0.89,0.69,0.62,0.68
556,'2022/03/22 08:52:12:198',4,-0.450562,-0.445115,-0.672821,1,0.89,0.69,0.62,0.68
557,'2022/03/22 08:52:12:216',4,-0.447266,-0.443711,-0.671783,1,0.89,0.69,0.62,0.68
558,'2022/03/22 08:52:12:230',4,-0.442017,-0.444016,-0.672394,1,0.89,0.69,0.62,0.68
559,'2022/03/22 08:52:12:246',4,-0.440918,-0.445054,-0.673309,1,0.89,0.69,0.62,0.68
560,'2022/03/22 08:52:12:291',4,-0.446838,-0.442368,-0.672089,1,0.89,0.69,0.62,0.68
561,'2022/03/22 08:52:12:295',4,-0.449524,-0.443101,-0.670258,1,0.89,0.69,0.62,0.68
562,'2022/03/22 08:52:12:311',4,-0.451599,-0.445176,-0.673065,1,0.89,0.69,0.62,0.68
563,'2022/03/22 08:52:12:326',4,-0.449768,-0.442551,-0.671417,1,0.89,0.69,0.62,0.68
564,'2022/03/22 08:52:12:342',4,-0.450439,-0.440964,-0.670563,1,0.89,0.69,0.62,0.68
565,'2022/03/22 08:52:12:358',4,-0.455688,-0.442673,-0.671661,1,0.89,0.69,0.62,0.68
566,'2022/03/22 08:52:12:392',4,-0.461243,-0.442368,-0.670868,1,0.89,0.69,0.62,0.68
567,'2022/03/22 08:52:12:394',4,-0.452393,-0.441086,-0.666412,1,0.89,0.69,0.62,0.68
568,'2022/03/22 08:52:12:407',4,-0.450378,-0.443162,-0.670197,1,0.89,0.69,0.62,0.68
569,'2022/03/22 08:52:12:423',4,-0.453796,-0.445359,-0.67392,1,0.89,0.69,0.62,0.68
570,'2022/03/22 08:52:12:439',4,-0.450195,-0.444626,-0.671906,1,0.89,0.69,0.62,0.68
571,'2022/03/22 08:52:12:456',4,-0.450623,-0.445542,-0.670013,1,0.89,0.69,0.62,0.68
572,'2022/03/22 08:52:12:494',4,-0.443787,-0.444321,-0.664093,1,0.89,0.69,0.62,0.68
573,'2022/03/22 08:52:12:504',4,-0.4422,-0.444932,-0.665192,1,0.89,0.69,0.62,0.68
574,'2022/03/22 08:52:12:522',4,-0.44397,-0.446091,-0.667267,1,0.89,0.69,0.62,0.68
575,'2022/03/22 08:52:12:536',4,-0.450439,-0.444565,-0.667572,1,0.89,0.69,0.62,0.68
576,'2022/03/22 08:52:12:553',4,-0.455933,-0.443528,-0.669586,1,0.89,0.69,0.62,0.68
577,'2022/03/22 08:52:12:597',4,-0.455017,-0.44249,-0.671356,1,0.89,0.69,0.62,0.68
578,'2022/03/22 08:52:12:601',4,-0.454651,-0.441025,-0.668732,1,0.89,0.69,0.62,0.68
579,'2022/03/22 08:52:12:619',4,-0.457214,-0.440964,-0.668121,1,0.89,0.69,0.62,0.68
580,'2022/03/22 08:52:12:634',4,-0.456238,-0.441636,-0.667938,1,0.89,0.69,0.62,0.68
581,'2022/03/22 08:52:12:650',4,-0.451416,-0.443772,-0.669342,1,0.89,0.69,0.62,0.68
